board,algorithm,operation,msg_len,notes,n_rows,n_runs,runs,iterations_mean,iterations_sd,iterations_ci95,enc_cycles_total_mean,enc_cycles_total_sd,enc_cycles_total_ci95,dec_cycles_total_mean,dec_cycles_total_sd,dec_cycles_total_ci95,enc_cycles_per_byte_mean,enc_cycles_per_byte_sd,enc_cycles_per_byte_ci95,dec_cycles_per_byte_mean,dec_cycles_per_byte_sd,dec_cycles_per_byte_ci95,enc_time_us_total_mean,enc_time_us_total_sd,enc_time_us_total_ci95,dec_time_us_total_mean,dec_time_us_total_sd,dec_time_us_total_ci95,enc_time_us_per_op_mean,enc_time_us_per_op_sd,enc_time_us_per_op_ci95,dec_time_us_per_op_mean,dec_time_us_per_op_sd,dec_time_us_per_op_ci95,flash_bytes_mean,flash_bytes_sd,flash_bytes_ci95,ram_bytes_mean,ram_bytes_sd,ram_bytes_ci95,stack_bytes_peak_mean,stack_bytes_peak_sd,stack_bytes_peak_ci95,energy_uJ_enc_total_mean,energy_uJ_enc_total_sd,energy_uJ_enc_total_ci95,energy_uJ_dec_total_mean,energy_uJ_dec_total_sd,energy_uJ_dec_total_ci95,energy_uJ_per_byte_enc_mean,energy_uJ_per_byte_enc_sd,energy_uJ_per_byte_enc_ci95,energy_uJ_per_byte_dec_mean,energy_uJ_per_byte_dec_sd,energy_uJ_per_byte_dec_ci95,avg_power_mW_enc_mean,avg_power_mW_enc_sd,avg_power_mW_enc_ci95,avg_power_mW_dec_mean,avg_power_mW_dec_sd,avg_power_mW_dec_ci95,energy_uJ_per_op_enc_mean,energy_uJ_per_op_enc_sd,energy_uJ_per_op_enc_ci95,energy_uJ_per_op_dec_mean,energy_uJ_per_op_dec_sd,energy_uJ_per_op_dec_ci95
pico,ascon_aead128,aead,4096,,5,5,1 2 3 4 5,200,0,0,135750843,6746.12896,8375.0826,129867395,3961.0218,4917.4697,165.711478,0.00823527357,0.0102238034,158.529535,0.00483515989,0.00600268149,1086006.74,53.9690317,67.0006608,1038939.16,31.6881744,39.3397576,5430.03372,0.269845159,0.335003304,5194.69581,0.158440872,0.196698788,63048,0,0,54300,0,0,0,0,0,250674.207,1716.84805,2131.40666,250553.914,771.745092,958.094476,0.3059988,0.0020957455,0.00260179456,0.3058518,0.000942152429,0.00116964921,230.848611,1.57609897,1.95667162,241.178127,0.747790745,0.928355994,1253.37104,8.58424023,10.6570333,1252.76957,3.85872546,4.79047238
pico,ascon_aead128,aead,16384,,5,5,1 2 3 4 5,100,0,0,265865266,3015.85618,3744.07972,252556460,1453.63293,1804.63432,162.27128,0.00184063761,0.00228508706,154.14823,0.000887453942,0.00110174296,2126922.13,24.1268494,29.9526377,2020451.68,11.6290635,14.4370746,21269.2213,0.241268494,0.299526377,20204.5168,0.116290635,0.144370746,63048,0,0,54300,0,0,0,0,0,299095.264,1621.17199,2012.62819,268678.816,3782.66691,4696.04835,0.1825532,0.000989419881,0.00122833009,0.1639884,0.00230872222,0.0028661977,140.628288,0.76351622,0.947878619,132.981767,1.87393514,2.32642478,2990.95264,16.2117199,20.1262819,2686.78816,37.8266691,46.9604835
pico,ascon_aead80pq,aead,16,,5,5,1 2 3 4 5,1000,0,0,18684016.4,2002.97499,2486.62322,19787772.2,5566.04749,6910.05282,1167.75103,0.125186195,0.155414272,1236.73576,0.347878141,0.431878516,149472.131,16.0237999,19.8929858,158302.178,44.5283799,55.2804226,149.472131,0.0160237999,0.0198929858,158.302178,0.0445283799,0.0552804226,59864,0,0,54300,0,0,0,0,0,53608.6271,601.365129,746.573725,56932.6884,1345.64624,1670.57263,3.3505392,0.0375852266,0.0466607412,3.5582932,0.084102968,0.104410886,358.736612,4.07959705,5.06467672,359.764815,8.5331922,10.593659,53.6086271,0.601365129,0.746573725,56.9326884,1.34564624,1.67057263
pico,ascon_aead80pq,aead,64,,5,5,1 2 3 4 5,1000,0,0,29269629,6882.6772,8544.60245,29900386,3700.98277,4594.64036,457.337953,0.107541921,0.133509524,467.193531,0.0578276731,0.0717910288,234157.032,55.0614176,68.3568196,239203.088,29.6078622,36.7571229,234.157032,0.0550614176,0.0683568196,239.203088,0.0296078622,0.0367571229,59864,0,0,54300,0,0,0,0,0,82164.3715,1338.73995,1661.99871,84330.1479,1203.32958,1493.89149,1.2838182,0.0209177497,0.0259686528,1.3176584,0.0188021379,0.0233421951,350.942299,5.71571669,7.09586189,352.568679,4.98352997,6.18687774,82.1643715,1.33873995,1.66199871,84.3301479,1.20332958,1.49389149
pico,ascon_aead80pq,aead,256,,5,5,1 2 3 4 5,1000,0,0,71604509.2,3680.12251,4568.74308,70342316.2,5347.87824,6639.20335,279.705114,0.0143755847,0.0178467845,274.774673,0.0208901254,0.0259343582,572836.074,29.4409801,36.5499446,562738.53,42.7830259,53.1136268,572.836074,0.0294409801,0.0365499446,562.73853,0.0427830259,0.0531136268,59864,0,0,54300,0,0,0,0,0,191553.475,4578.12716,5683.58437,193232.539,4171.07941,5178.24885,0.7482558,0.0178832663,0.0222014482,0.7548148,0.0162933763,0.0202276554,334.456002,7.98683538,9.91537612,343.429214,7.41865685,9.21000239,191.553475,4.57812716,5.68358437,193.232539,4.17107941,5.17824885
pico,ascon_aead80pq,aead,1024,,5,5,1 2 3 4 5,500,0,0,120529024,4313.69931,5355.30645,116052063,3038.37815,3772.03995,235.408249,0.00842503586,0.0104593867,226.664185,0.00593452009,0.00736749863,964232.19,34.5095944,42.8424516,928416.501,24.3070252,30.1763196,1928.46438,0.0690191889,0.0856849033,1856.833,0.0486140504,0.0603526393,59864,0,0,54300,0,0,0,0,0,310285.432,1260.55799,1564.93855,309502.492,926.878869,1150.68762,0.6060266,0.00246207185,0.00305657589,0.604497,0.00181043821,0.00224759556,321.822804,1.31534674,1.63295687,333.376419,1.001846,1.24375669,620.570864,2.52111597,3.12987709,619.004984,1.85375774,2.30137524
pico,ascon_aead80pq,aead,4096,,5,5,1 2 3 4 5,200,0,0,183748113,1372.20308,1703.54202,175833050,2445.69884,3036.24936,224.301896,0.00167497606,0.00207942406,214.639953,0.00298555367,0.00370646021,1469984.91,10.9776247,13.6283362,1406664.4,19.5655907,24.2899949,7349.92454,0.0548881233,0.0681416808,7033.32198,0.0978279535,0.121449974,59864,0,0,54300,0,0,0,0,0,337864.39,4020.90119,4991.80785,336802.394,4283.027,5317.22786,0.412432,0.00490850094,0.00609373183,0.4111356,0.00522839625,0.00649087064,229.848498,2.73348283,3.39352309,239.440073,3.04489602,3.78013166,1689.32195,20.1045059,24.9590393,1684.01197,21.415135,26.5861393
pico,ascon_aead80pq,aead,16384,,5,5,1 2 3 4 5,100,0,0,362877158,5031.5708,6246.51875,346735597,1154.73252,1433.55994,221.482641,0.00307097953,0.00381251343,211.630613,0.000704772871,0.000874950811,2903017.27,40.2525664,49.97215,2773884.77,9.23786019,11.4684796,29030.1727,0.402525664,0.4997215,27738.8477,0.0923786019,0.114684796,59864,0,0,54300,0,0,0,0,0,636585.289,4193.18843,5205.69643,593658.023,5558.04617,6900.11946,0.3885408,0.00255931372,0.00317729825,0.3623402,0.00339231229,0.00421143678,219.28959,1.44815494,1.79783359,214.020471,2.00306782,2.48673847,6365.85289,41.9318843,52.0569643,5936.58023,55.5804617,69.0011946
pico,gift_cofb,aead,16,,5,5,1 2 3 4 5,1000,0,0,13349034.4,367.456528,456.184397,13249908.4,259.085507,321.645574,834.31465,0.0229662334,0.0285117736,828.119275,0.016192602,0.0201025477,106792.275,2.93965222,3.64947518,105999.267,2.07268406,2.57316459,106.792275,0.00293965222,0.00364947518,105.999267,0.00207268406,0.00257316459,45704,0,0,54300,0,0,0,0,0,35401.1058,425.238652,527.918878,35201.4123,421.719051,523.549417,2.212569,0.0265773825,0.0329948886,2.2000882,0.0263571948,0.0327215333,331.626283,3.98349998,4.94537557,332.245674,3.99660967,4.96165079,35.4011058,0.425238652,0.527918878,35.2014123,0.421719051,0.523549417
pico,gift_cofb,aead,64,,5,5,1 2 3 4 5,1000,0,0,21604289.8,94.2772507,117.041901,20940338.6,395.982702,491.598641,337.567028,0.00147321916,0.00182894994,327.192791,0.00618717154,0.00768115656,172834.318,0.754218006,0.936335212,167522.709,3.16786161,3.93278913,172.834318,0.000754218006,0.000936335212,167.522709,0.00316786161,0.00393278913,45704,0,0,54300,0,0,0,0,0,57288.812,702.534537,872.171998,55646.3581,543.935596,675.276973,0.8951378,0.0109768631,0.0136273907,0.8694744,0.00849895625,0.0105511562,331.508496,4.0652994,5.04692667,332.254118,3.22956648,4.00939356,57.288812,0.702534537,0.872171998,55.6463581,0.543935596,0.675276973
pico,gift_cofb,aead,256,,5,5,1 2 3 4 5,1000,0,0,54472292.4,174.273635,216.354609,51552348.2,308.918598,383.511609,212.782392,0.000681009545,0.000845449474,201.37636,0.00120674011,0.00149812554,435778.339,1.39418908,1.73083687,412418.786,2.47134878,3.06809287,435.778339,0.00139418908,0.00173083687,412.418786,0.00247134878,0.00306809287,45704,0,0,54300,0,0,0,0,0,143992.389,1864.75551,2315.02859,136226.36,1790.6573,2223.03825,0.5624704,0.00728389465,0.00904269985,0.5321344,0.00699489763,0.00868392017,330.456823,4.28868377,5.32425054,330.345827,4.34230301,5.39081695,143.992389,1.86475551,2.31502859,136.22636,1.7906573,2.22303825
pico,gift_cofb,aead,1024,,5,5,1 2 3 4 5,500,0,0,92972323.6,85.2367292,105.818411,87001334.8,273.722853,339.817325,181.586569,0.000166271765,0.000206420568,169.924482,0.000534575252,0.000663656434,743778.589,0.681893833,0.846547288,696010.678,2.18978282,2.7185386,1487.55718,0.00136378767,0.00169309458,1392.02136,0.00437956564,0.0054370772,45704,0,0,54300,0,0,0,0,0,207272.652,1508.3213,1872.52801,203137.417,1233.7961,1531.71461,0.4048294,0.00294599835,0.00365735367,0.3967528,0.00240999247,0.00299192116,278.688259,2.02784427,2.51749757,291.882427,1.76761842,2.19443629,414.545303,3.01664259,3.74505602,406.274833,2.46759221,3.06342921
pico,gift_cofb,aead,4096,,5,5,1 2 3 4 5,200,0,0,142366810,95.4698905,118.522522,132760855,280.425569,348.138513,173.78761,0.000116481758,0.000144608019,162.061591,0.000342661349,0.000425402051,1138934.48,0.763759124,0.948180176,1062086.84,2.24340456,2.7851081,5694.6724,0.00381879562,0.00474090088,5310.4342,0.0112170228,0.0139255405,45704,0,0,54300,0,0,0,0,0,221963.136,948.555811,1177.59878,218960.655,2204.91972,2737.33053,0.2709512,0.00115779389,0.00143736053,0.2672858,0.00269133484,0.00334119784,194.894704,0.834505592,1.03600944,206.171575,2.07613447,2.57744815,1109.81568,4.74277906,5.88799392,1094.80328,11.0245986,13.6866526
pico,gift_cofb,aead,16384,,5,5,1 2 3 4 5,100,0,0,281538725,88.0806449,109.349033,262298640,309.222897,383.889386,171.837601,5.37986989e-05,6.67891985e-05,160.094384,0.000188659217,0.000234213803,2252309.8,0.704645159,0.874792261,2098389.12,2.47378318,3.07111508,22523.098,0.00704645159,0.00874792261,20983.8912,0.0247378318,0.0307111508,45704,0,0,54300,0,0,0,0,0,310754.053,1232.65332,1530.29588,251585.903,6328.20943,7856.25015,0.1896692,0.000752506943,0.000934210988,0.1535558,0.00386233306,0.00479495109,137.974553,0.54685819,0.67890527,119.898787,3.01509428,3.74313385,3107.54053,12.3265332,15.3029588,2515.85903,63.2820943,78.5625015
pico,ml_kem_512,decap,0,decap,5,5,1 2 3 4 5,10,0,0,18059022,1988.06816,2468.11692,0,0,0,0,0,0,0,0,0,144472.176,15.9045453,19.7449353,0,0,0,14447.2176,1.59045453,1.97449353,0,0,0,50232,0,0,8692,0,0,0,0,0,46094.123,1321.95422,1641.15982,0,0,0,0,0,0,0,0,0,319.072355,9.1086095,11.3080194,0,0,0,4609.4123,132.195422,164.115982,0,0,0
pico,ml_kem_512,encap,0,encap,5,5,1 2 3 4 5,10,0,0,14907022,939.857702,1166.80039,0,0,0,0,0,0,0,0,0,119256.176,7.51886162,9.33440309,0,0,0,11925.6176,0.751886162,0.933440309,0,0,0,50232,0,0,8692,0,0,0,0,0,38676.4842,1017.88035,1263.66277,0,0,0,0,0,0,0,0,0,324.264178,8.5845391,10.6574043,0,0,0,3867.64842,101.788035,126.366277,0,0,0
pico,ml_kem_512,keygen,0,keygen,5,5,1 2 3 4 5,10,0,0,12762319,944.079711,1172.04186,0,0,0,0,0,0,0,0,0,102098.552,7.55263768,9.3763349,0,0,0,10209.8552,0.755263768,0.93763349,0,0,0,50232,0,0,8692,0,0,0,0,0,33999.8576,354.779358,440.446134,0,0,0,0,0,0,0,0,0,332.676391,2.97092728,3.68830206,0,0,0,3399.98576,35.4779358,44.0446134,0,0,0
